page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
https://www.futbol24.com/,5000,78,7,612381,1.0,0.0,0.0,6.0,none
https://www.futbollibretv.fr/,5000,402,118,283106,0.0,1.0,0.0,12.0,none
https://www.g4media.ro/,5000,97,17,4572575,1.0,0.0,1.0,24.0,OneTrust
https://www.gala.de/,5000,136,16,1584773,0.0,0.0,0.0,11.0,none
https://www.gala.fr/,5000,38,10,868110,1.0,0.0,0.0,11.0,none
https://www.gamesradar.com/,5000,920,221,5499537,1.0,1.0,0.0,37.0,none
https://www.gamingbible.com/,5000,197,50,2604000,1.0,1.0,1.0,29.0,Funding Choices
https://www.gardenhomefuture.com/,5000,155,36,3621531,1.0,1.0,1.0,21.0,Funding Choices
https://www.gayboystube.com/,5000,126,20,4812236,1.0,0.0,0.0,14.0,none
https://www.gaymaletube.com/,5000,80,7,1143081,1.0,0.0,0.0,6.0,none
https://www.gays-cruising.com/,5000,43,13,1143906,1.0,0.0,0.0,13.0,none
https://www.gazeteduvar.com.tr/,5000,598,158,3274215,1.0,1.0,1.0,29.0,Funding Choices
https://www.gazzetta.gr/,5000,268,39,5738544,1.0,1.0,0.0,25.0,none
https://www.gbnews.com/,5000,1872,259,15337464,0.0,0.0,0.0,0.0,none
https://www.geeksforgeeks.org/,5000,124,36,2063095,1.0,1.0,0.0,35.0,none
https://www.gelderlander.nl/,5000,92,24,4351674,1.0,1.0,0.0,19.0,none
https://www.getepic.com/,5000,99,5,1187385,1.0,0.0,0.0,22.0,none
https://www.getyourguide.com/,5000,222,29,2755737,1.0,1.0,1.0,25.0,OneTrust
https://www.giga.de/,5000,69,9,1444829,0.0,0.0,0.0,11.0,none
https://www.gimkit.com/,5000,34,10,2546365,1.0,0.0,0.0,19.0,none
https://www.giroditalia.it/,5000,211,48,33030989,1.0,1.0,0.0,35.0,none
https://www.gismeteo.by/,5000,145,32,2531799,1.0,1.0,1.0,12.0,Funding Choices
https://www.gismeteo.kz/,5000,153,38,2792010,1.0,1.0,1.0,17.0,Funding Choices
https://www.glassdoor.co.in/,5000,122,24,3449917,1.0,0.0,1.0,36.0,OneTrust
https://www.glassdoor.com/,5000,180,54,3883421,1.0,1.0,1.0,49.0,OneTrust
https://www.gmx.net/,5000,20,8,345131,0.0,0.0,0.0,3.0,none
https://www.go-manga.com/,5000,59,4,6329132,1.0,0.0,0.0,15.0,none
https://www.gob.mx/,5000,69,11,15057585,1.0,0.0,0.0,15.0,none
https://www.gocomics.com/,5000,1220,264,4459813,1.0,1.0,0.0,44.0,none
https://www.gofundme.com/,5000,173,35,4451177,1.0,1.0,1.0,28.0,Transcend
https://www.goibibo.com/,5000,112,22,1382700,1.0,0.0,0.0,19.0,none
https://www.goindigo.in/,5000,144,39,5750268,1.0,1.0,0.0,35.0,none
https://www.goldbet.it/,5000,1313,16,2231026,0.0,0.0,1.0,16.0,OneTrust
https://www.goo-net.com/,5000,88,25,1612422,1.0,0.0,0.0,11.0,none
https://www.goodhousekeeping.com/,5000,266,81,6075410,1.0,1.0,1.0,36.0,OneTrust
https://www.goodreturns.in/,5000,962,214,4855121,1.0,1.0,1.0,38.0,Funding Choices
https://www.google.at/,5000,28,5,735895,0.0,0.0,0.0,2.0,none
https://www.google.be/,5000,27,4,731406,0.0,0.0,0.0,2.0,none
https://www.google.ch/,5000,27,4,709649,0.0,0.0,0.0,2.0,none
https://www.google.cl/,5000,27,4,729895,0.0,0.0,0.0,2.0,none
https://www.google.co.id/,5000,28,5,684448,0.0,0.0,0.0,2.0,none
https://www.google.co.kr/,5000,27,4,730232,0.0,0.0,0.0,2.0,none
https://www.google.co.th/,5000,27,5,734450,0.0,0.0,0.0,2.0,none
https://www.google.com.ar/,5000,27,4,731978,0.0,0.0,0.0,2.0,none
https://www.google.com.au/,5000,40,8,991006,0.0,0.0,0.0,4.0,none
https://www.google.com.co/,5000,28,5,733471,0.0,0.0,0.0,2.0,none
https://www.google.com.pe/,5000,28,5,730046,0.0,0.0,0.0,2.0,none
https://www.google.com.tw/,5000,28,5,729820,0.0,0.0,0.0,2.0,none
https://www.google.com.vn/,5000,27,5,733998,0.0,0.0,0.0,2.0,none
https://www.google.cz/,5000,27,5,730503,0.0,0.0,0.0,2.0,none
https://www.google.gr/,5000,27,4,731798,0.0,0.0,0.0,2.0,none
https://www.google.hu/,5000,28,5,733332,0.0,0.0,0.0,2.0,none
https://www.google.nl/,5000,27,4,731184,0.0,0.0,0.0,2.0,none
https://www.google.pt/,5000,28,5,713589,0.0,0.0,0.0,2.0,none
https://www.google.ro/,5000,28,5,729749,0.0,0.0,0.0,2.0,none
https://www.google.ru/,5000,39,8,988336,0.0,0.0,0.0,4.0,none
https://www.google.se/,5000,27,4,731372,0.0,0.0,0.0,2.0,none
https://www.gosexpod.com/,5000,96,10,1565411,1.0,1.0,0.0,7.0,none
https://www.gossip-tv.gr/,5000,106,20,4299896,1.0,0.0,0.0,12.0,none
https://www.gov.pl/,5000,95,3,952642,1.0,0.0,0.0,10.0,none
https://www.grail.bz/,5000,242,71,8511446,1.0,1.0,0.0,27.0,none
https://www.gramedia.com/,5000,206,49,3717728,1.0,1.0,0.0,32.0,none
https://www.grammarly.com/,5000,176,63,14261159,1.0,1.0,0.0,35.0,none
https://www.groupon.com/,5000,879,243,4320833,1.0,1.0,1.0,50.0,Funding Choices
https://www.gseb.org/,5000,21,2,3440306,0.0,0.0,0.0,6.0,none
https://www.gsmarena.com/,5000,1283,232,3538944,1.0,1.0,0.0,25.0,none
https://www.gsp.ro/,5000,138,23,2174046,1.0,1.0,1.0,19.0,OneTrust
https://www.gta5-mods.com/,5000,605,170,3096106,1.0,1.0,0.0,31.0,none
https://www.gumtree.com/,5000,82,28,2706397,1.0,1.0,1.0,22.0,OneTrust
