page,rank,total_requests,num_domains,page_weight
https://www.ebay.com/,1000,194,32,2988767
https://www.ebay.de/,1000,147,18,4078017
https://www.ebay.it/,1000,65,9,1678881
https://www.ecosia.org/,1000,34,4,507047
https://www.eenadu.net/,1000,249,31,10033884
https://www.elmundo.es/,1000,122,32,2120143
https://www.elnacional.cat/,1000,860,188,5083788
https://www.eltiempo.es/,1000,499,152,2076136
https://www.emag.ro/,1000,94,15,2635755
https://www.emulatorgames.net/,1000,21,6,374662
https://www.eporner.com/,1000,303,13,9817011
https://www.erome.com/,1000,19,7,566142
https://www.espn.com/,1000,465,109,9572974
https://www.espncricinfo.com/,1000,443,32,4425253
https://www.etsy.com/,1000,160,41,7439362
https://www.express.co.uk/,1000,815,222,4081263
https://www.extra.cz/,1000,263,53,7643587
https://www.facebook.com/,1000,36,3,288830
https://www.fannovels.org/,1000,157,57,1238310
https://www.fanpage.it/,1000,389,122,2601327
https://www.finn.no/,1000,139,16,2435737
https://www.flashscore.com.br/,1000,284,21,3107696
https://www.flashscore.com/,1000,333,16,2525783
https://www.flashscore.fr/,1000,245,16,2575686
https://www.flashscore.pl/,1000,450,18,3365034
https://www.flipkart.com/,1000,123,9,2325933
https://www.fmkorea.com/,1000,92,14,771825
https://www.forbes.com/,1000,538,161,6624322
https://www.foxnews.com/,1000,1100,266,8662292
https://www.francetvinfo.fr/,1000,219,15,1499060
https://www.freepik.com/,1000,147,26,3172374
https://www.fuq.com/,1000,90,7,1322756
https://www.furaffinity.net/,1000,1107,222,7278263
https://www.futbin.com/,1000,782,220,7267640
https://www.gazzetta.it/,1000,174,44,5115187
https://www.geny.com/,1000,508,138,5579529
https://www.gismeteo.ru/,1000,163,20,1299285
https://www.globo.com/,1000,255,58,6719216
https://www.goal.com/,1000,1358,252,6177741
https://www.goodreads.com/,1000,783,157,2827773
https://www.google.ca/,1000,38,7,964368
https://www.google.co.in/,1000,39,8,985710
https://www.google.co.jp/,1000,38,7,982812
https://www.google.co.uk/,1000,39,8,981994
https://www.google.com.br/,1000,38,7,987673
https://www.google.com.hk/,1000,27,4,735355
https://www.google.com.mx/,1000,27,4,732605
https://www.google.com.tr/,1000,27,5,731711
https://www.google.com/,1000,38,6,985082
https://www.google.de/,1000,40,8,984685
https://www.google.es/,1000,26,4,732635
https://www.google.fr/,1000,27,4,729793
https://www.google.it/,1000,26,4,727779
https://www.google.pl/,1000,28,5,729702
https://www.goojara.to/,1000,14,2,104006
https://www.gov.br/,1000,131,10,4093580
https://www.gov.uk/,1000,24,1,167577
https://www.haberler.com/,1000,223,43,3540102
https://www.healthline.com/,1000,153,39,3989985
https://www.hentai.name/,1000,49,7,1021714
https://www.hindustantimes.com/,1000,1563,285,4116166
https://www.hln.be/,1000,88,23,2776209
https://www.hltv.org/,1000,372,119,4009786
https://www.homedepot.com/,1000,298,66,6149788
https://www.hurriyet.com.tr/,1000,286,80,4185455
https://www.idnes.cz/,1000,470,128,4485191
https://www.ikea.com/,1000,47,4,2903316
https://www.ilmessaggero.it/,1000,252,31,7600540
https://www.ilmeteo.it/,1000,541,165,3115513
https://www.ilovepdf.com/,1000,25,4,378760
https://www.iltalehti.fi/,1000,47,13,1281829
https://www.imagefap.com/,1000,169,28,18020870
https://www.imdb.com/,1000,1198,197,3600578
https://www.index.hr/,1000,168,58,3091131
https://www.infobae.com/,1000,271,63,5056932
https://www.instagram.com/,1000,44,3,2818725
https://www.interia.pl/,1000,117,15,1196926
https://www.inven.co.kr/,1000,248,20,12072109
https://www.ixl.com/,1000,150,14,2670510
https://www.ixxx.com/,1000,89,7,1373410
https://www.jalan.net/,1000,440,73,3760754
https://www.jiocinema.com/,1000,176,23,3151028
https://www.joyclub.de/,1000,101,4,2647929
https://www.jra.go.jp/,1000,113,6,3432506
https://www.jusbrasil.com.br/,1000,49,16,798508
https://www.jutarnji.hr/,1000,510,149,11877278
https://www.jw.org/,1000,63,5,3990279
https://www.kidsa-z.com/,1000,45,4,869072
https://www.kleinanzeigen.de/,1000,100,8,2165847
https://www.kohls.com/,1000,700,188,6669629
https://www.kurir.rs/,1000,141,39,3945811
https://www.ladepeche.fr/,1000,131,42,1700082
https://www.lanacion.com.ar/,1000,1297,250,4735807
